Pincode,Location,Hospital Name,Address
500015,"Begumpet, Prakash Nagar, Rasoolpura",SunMed Hospital,"FGC5+9F5, Tirumalagiri, Hyderabad, Telangana 500015"
501301,"Shamshabad, Kothur, Thondapally",Sri Vidya Hospital,"CMXH+PH9, Main Road, Medchal, Telangana 501301"
500008,"Nampally, Public Gardens, Bazarghat",Premier Hospital,"12-2-718, Khader Bagh Rd, Toli Chowki, Hyderabad, Telangana 500008"
500018,"Jubilee Hills, Film Nagar, Road No. 36",Sri Balaji Hospital,"F94X+FFF, Parvath Nagar, Madhapur, Hyderabad, Telangana 500018"
500062,"ECIL, Dr. A.S. Rao Nagar, Kushaiguda",May Flower Hospital,"1-19-80/42, AS Rao Nagar Rd, Lakshmipuram Colony, Hyderabad, Telangana 500062"
500005,"Marredpally, East/West Marredpally, Trimulgherry",SEHAT City Hospital,"Tulsi Nagar, Chandrayangutta, Hyderabad, Telangana 500005"
500013,"Amberpet, DD Colony, Shivam Road",Max Care Hospital,"2-2-421, Amberpet Main Rd, Bagh Amberpet, Hyderabad, Telangana 500013"
500001,"Koti, King Koti, Bank Street, Abids",Aditya Hospital,"4-1-16, Boggulkunta, Abids, Hyderabad, Telangana 500001"
500020,"Barkatpura, Narayanaguda, Fever Hospital",Dangoria Hospital Charitable Trust,"RTC Cross Road, Hyderabad, Telangana 500020"
500044,"Malakpet, Old Malakpet, Moosarambagh",Anand Hospital,"1-9-277/32, Ramnagar Gundu Rd, Adikmet, Hyderabad, Telangana 500044"
500004,"Mallepally, Red Hills, Nampally Station",Apollo Spectra Hospital,"8-2-596/5, Road No. 10, Banjara Hills, Hyderabad, Telangana 500004"
500045,"Rahmath Nagar, Yousufguda, A.Gs. Staff Quarters",Madhuri Hospital,"Plot No.1, H.No.8-3-302/E/1, Ganapathi Complex Road, Pragathi Nagar, Yousufguda, Hyderabad, Telangana 500045"
500012,"Musheerabad, RTC Cross Roads, Gandhinagar",Osmania General Hospital,"15-5-104, Afzalgunj, Hyderabad, Telangana 500012"
500040,"Moulali, APHB Colony, Bhag E Zehra",LifeSpring Maternity Hospital,"350/5&6, Moula Ali Kaman Rd, Vasanth Vihar Colony, Moula Ali, Secunderabad, Telangana 500040"
500048,"Attapur, upparpally, ",Human Touch Hospital,"Inner Ring Road, Fort View Colony, Upparpally, Opp. Pillar No. 191 PVNR Express Flyover, Rajendranagar Mandal, Hyderabad, Telangana 500048"
500064,"Kalapather, Hussainialam, Bahadurpura, Kishanbagh",Fatima Hospital,"19-2-24/20/7, Kalapather, Hyderabad, Telangana 500064"
500005,"Chandrayangutta, Bandlaguda ",Al Madina General Hospital,"Ismail Nagar Rd, Mohammed Nagar, Ismail Nagar, Chandrayangutta, Hyderabad, Telangana 500005"
500027,"Kachiguda, Barkatpura ,Nimboliadda ",TX Hospital,"3-2-841/1, Kachiguda Station Rd, Mahalaxmi Nilayam, Hyderabad, Telangana 500027"
500016,"Begumpet, Prakashamnagar",Vivekananda Hospital,"6-3-871/A, Greenlands Road, Beside CM Camp Office, Begumpet, Punjagutta, Hyderabad, Telangana 500016"
500003,"Secunderabad, West Marredpally",Medwin Hospitals,"7, 83 & 84, Sarojini Devi Rd, West Marredpally, Secunderabad, Telangana 500003"
500080,"Kavadiguda, Gandhi nagar ",Sri Narmada Hospital,"1-1-770/A/1/1, Gandhi Nagar, Bakaram, Hyderabad, Telangana 500080"
500001,"Nampally, Moazzampura, Seetharampet, State Bank Of Hyderabad",Udai Omni Hospital,"5-9-94, Chapel Road, Nampally, Hyderabad, Telangana 500001"
500002,"Charminar, Gulzar Houz, Laad Bazaar",Charminar Govt Hospital,"9F4F+37X, Falaknuma Rd, opposite Charminar, Khilwat, Hyderabad, Telangana 500002"
500003,"Secunderabad, Clock Tower, Paradise",Yashoda Hospital,"Alexander Road, Secunderabad, Hyderabad, Telangana 500003"
500004,"Lakdikapul, Khairatabad, Anandnagar, Basheerbagh X Road",Gleneagles Global Hospital,"6-1-1070/1 to 4, Lakdikapul, Hyderabad, Telangana 500004"
500006,"Musheerabad, RTC X Roads, Chikkadpally","Apollo Hospitals, Hyderguda","Hyderguda, Hyderabad, Telangana 500029"
500007,"IICT, Jama I Osmania, Ngri, Tarnaka",Osmania University Health Centre,"Osmania University Main Rd, Amberpet, Hyderabad, Telangana 500007"
500008,"Golconda, Toli Chowki",Premier Hospital,"12-2-718, Khader Bagh Rd, Toli Chowki, Hyderabad, Telangana 500008"
500012,"Afzal Gunj, Begum bazar",Osmania General Hospital,"Afzal Gunj, Hyderabad, Telangana 500012"
500013,"Amberpet, Ramanthapur, Zindatelismath",Max Care Hospital,"2-2-421, Amberpet Main Rd, Bagh Amberpet, Hyderabad, Telangana 500013"
